requestNum,Prices,Returns
ID-66-st,98.5069651446,
ID-86-st,100.736489728,0.0223808370377
ID-81-st,102.176379096,0.0141924319085
ID-77-st,100.668704312,-0.0148655567444
ID-20-st,100.414698449,-0.00252637456586
ID-4-st,99.7131520839,-0.00701101058526
ID-4-st,99.476003079,-0.0023811448644
ID-42-st,100.730364681,0.0125308503363
ID-75-st,101.829928572,0.0108567644073
ID-25-st,100.729214265,-0.0108681852217
ID-16-st,100.604045996,-0.00124339400873
ID-24-st,99.3357254027,-0.0126871967228
ID-76-st,100.026584673,0.00693071859988
ID-26-st,100.651379066,0.0062268562051
ID-66-st,99.1948864414,-0.014576388595
